date,name,value
2023-05-31,gofiber/fiber,25747
2023-06-30,gofiber/fiber,26251
2023-07-31,gofiber/fiber,26844
2023-08-31,gofiber/fiber,27381
2023-09-30,gofiber/fiber,27873
2023-10-31,gofiber/fiber,28358
2023-11-30,gofiber/fiber,28771
2023-12-31,gofiber/fiber,29180
2024-01-31,gofiber/fiber,29622
2024-02-29,gofiber/fiber,29997
2024-03-31,gofiber/fiber,30627
2024-04-30,gofiber/fiber,31047
2024-05-31,gofiber/fiber,31418
2024-06-30,gofiber/fiber,31752
2024-07-31,gofiber/fiber,32174
2024-08-31,gofiber/fiber,32638
2024-09-30,gofiber/fiber,33203
2024-10-31,gofiber/fiber,33671
2024-11-30,gofiber/fiber,34064
2024-12-31,gofiber/fiber,34457
2025-01-31,gofiber/fiber,34567
2014-06-30,gin-gonic/gin,141
2014-07-31,gin-gonic/gin,906
2014-08-31,gin-gonic/gin,1067
2014-09-30,gin-gonic/gin,1177
2014-10-31,gin-gonic/gin,1294
2014-11-30,gin-gonic/gin,1420
2014-12-31,gin-gonic/gin,1554
2015-01-31,gin-gonic/gin,1689
2015-02-28,gin-gonic/gin,1916
2015-03-31,gin-gonic/gin,2129
2015-04-30,gin-gonic/gin,2326
2015-05-31,gin-gonic/gin,2725
2015-06-30,gin-gonic/gin,2951
2015-07-31,gin-gonic/gin,3150
2015-08-31,gin-gonic/gin,3359
2015-09-30,gin-gonic/gin,3625
2015-10-31,gin-gonic/gin,3862
2015-11-30,gin-gonic/gin,4151
2015-12-31,gin-gonic/gin,4385
2016-01-31,gin-gonic/gin,4659
2016-02-29,gin-gonic/gin,4985
2016-03-31,gin-gonic/gin,5354
2016-04-30,gin-gonic/gin,5613
2016-05-31,gin-gonic/gin,5883
2016-06-30,gin-gonic/gin,6152
2016-07-31,gin-gonic/gin,6385
2016-08-31,gin-gonic/gin,6636
2016-09-30,gin-gonic/gin,6833
2016-10-31,gin-gonic/gin,7080
2016-11-30,gin-gonic/gin,7298
2016-12-31,gin-gonic/gin,7581
2017-01-31,gin-gonic/gin,7848
2017-02-28,gin-gonic/gin,8129
2017-03-31,gin-gonic/gin,8517
2017-04-30,gin-gonic/gin,8802
2017-05-31,gin-gonic/gin,9188
2017-06-30,gin-gonic/gin,9508
2017-07-31,gin-gonic/gin,9977
2017-08-31,gin-gonic/gin,10422
2017-09-30,gin-gonic/gin,10891
2017-10-31,gin-gonic/gin,11421
2017-11-30,gin-gonic/gin,12005
2017-12-31,gin-gonic/gin,12552
2018-01-31,gin-gonic/gin,13327
2018-02-28,gin-gonic/gin,13908
2018-03-31,gin-gonic/gin,14608
2018-04-30,gin-gonic/gin,15368
2018-05-31,gin-gonic/gin,16071
2018-06-30,gin-gonic/gin,16799
2018-07-31,gin-gonic/gin,17592
2018-08-31,gin-gonic/gin,18427
2018-09-30,gin-gonic/gin,19148
2018-10-31,gin-gonic/gin,19824
2018-11-30,gin-gonic/gin,20682
2018-12-31,gin-gonic/gin,21524
2019-01-31,gin-gonic/gin,22297
2019-02-28,gin-gonic/gin,22887
2019-03-31,gin-gonic/gin,23793
2019-04-30,gin-gonic/gin,24784
2019-05-31,gin-gonic/gin,25770
2019-06-30,gin-gonic/gin,26667
2019-07-31,gin-gonic/gin,27779
2019-08-31,gin-gonic/gin,28756
2019-09-30,gin-gonic/gin,29649
2019-10-31,gin-gonic/gin,30390
2019-11-30,gin-gonic/gin,31307
2019-12-31,gin-gonic/gin,32209
2020-01-31,gin-gonic/gin,32914
2020-02-29,gin-gonic/gin,33573
2020-03-31,gin-gonic/gin,34363
2020-04-30,gin-gonic/gin,35353
2020-05-31,gin-gonic/gin,36282
2020-06-30,gin-gonic/gin,37237
2020-07-31,gin-gonic/gin,38183
2020-08-31,gin-gonic/gin,38991
2020-09-30,gin-gonic/gin,39793
2020-10-31,gin-gonic/gin,40552
2020-11-30,gin-gonic/gin,41390
2020-12-31,gin-gonic/gin,42261
